                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.64426,                0.48005,                 1.0397,                0.73231,                    0.7,                0.75665,                0.53287,                 1.2565,                  1.139,                 2.1116,              0.0074656,              0.0074656,              0.0074656
                    130,                0.64433,                0.45773,                 1.0506,                0.86947,                    0.8,                0.86105,                0.65305,                 1.1336,                0.93778,                 1.9351,              0.0074458,              0.0074458,              0.0074458
                    131,                0.61766,                0.45114,                 1.0288,                0.96947,                   0.85,                0.92269,                0.69021,                 1.1265,                0.79524,                 2.0032,               0.007426,               0.007426,               0.007426
                    132,                 0.7132,                 0.4704,                 1.0553,                0.96947,                   0.85,                0.92269,                0.69021,                 1.1265,                0.79524,                 2.0032,              0.0074062,              0.0074062,              0.0074062
                    133,                0.63437,                0.43567,                 1.0416,                0.94384,                    0.9,                0.94287,                0.72339,                0.93018,                0.65748,                 1.7155,              0.0073864,              0.0073864,              0.0073864
                    134,                0.63658,                  0.435,                 1.0347,                0.99493,                    0.9,                0.94321,                0.72662,                0.93335,                0.56597,                 1.6841,              0.0073666,              0.0073666,              0.0073666
                    135,                0.67172,                0.44763,                 1.0319,                0.90869,                      1,                0.98795,                0.72688,                0.96299,                0.52121,                 1.6757,              0.0073468,              0.0073468,              0.0073468
                    136,                0.63297,                0.42583,                 1.0397,                0.90869,                      1,                0.98795,                0.72688,                0.96299,                0.52121,                 1.6757,               0.007327,               0.007327,               0.007327
                    137,                0.72723,                0.44662,                   1.16,                0.90872,                0.99572,                0.98795,                0.76058,                0.88355,                0.50618,                 1.5414,              0.0073072,              0.0073072,              0.0073072
                    138,                0.66094,                0.43553,                 1.1291,                 0.9934,                      1,                  0.995,                0.77145,                0.91977,                0.48358,                 1.6043,              0.0072874,              0.0072874,              0.0072874
                    139,                0.65725,                0.41699,                  1.033,                0.99241,                      1,                  0.995,                0.77867,                0.90492,                0.49764,                  1.675,              0.0072676,              0.0072676,              0.0072676
                    140,                0.59946,                0.39889,                 1.0131,                0.99241,                      1,                  0.995,                0.77867,                0.90492,                0.49764,                  1.675,              0.0072478,              0.0072478,              0.0072478
                    141,                0.57041,                0.43364,                  1.028,                0.98394,                      1,                  0.995,                0.74481,                0.95243,                0.57124,                 1.6852,               0.007228,               0.007228,               0.007228
                    142,                0.60626,                0.42802,                 1.0196,                0.99088,                      1,                  0.995,                0.73682,                0.93178,                0.50507,                  1.595,              0.0072082,              0.0072082,              0.0072082
                    143,                0.62835,                0.42674,                  1.023,                0.99236,                      1,                  0.995,                0.75609,                0.88625,                0.51931,                 1.5108,              0.0071884,              0.0071884,              0.0071884
                    144,                0.64786,                0.44786,                 1.0167,                0.99236,                      1,                  0.995,                0.75609,                0.88625,                0.51931,                 1.5108,              0.0071686,              0.0071686,              0.0071686
                    145,                 0.6735,                 0.4456,                 1.1031,                0.99943,                      1,                  0.995,                0.77196,                0.92862,                0.51448,                 1.5409,              0.0071488,              0.0071488,              0.0071488
                    146,                0.65417,                0.46774,                 1.0392,                0.94515,                   0.85,                0.94897,                0.77306,                0.86856,                0.56647,                 1.4985,               0.007129,               0.007129,               0.007129
                    147,                0.63424,                0.42398,                 1.0346,                      1,                0.83849,                0.94962,                0.73817,                0.87902,                0.64649,                 1.5536,              0.0071092,              0.0071092,              0.0071092
                    148,                0.59104,                 0.4348,                 1.0243,                      1,                0.83849,                0.94962,                0.73817,                0.87902,                0.64649,                 1.5536,              0.0070894,              0.0070894,              0.0070894
                    149,                0.64939,                0.44853,                 1.0191,                0.94721,                0.89729,                0.92955,                0.70622,                0.95472,                0.70452,                 1.6255,              0.0070696,              0.0070696,              0.0070696
                    150,                 0.5834,                0.41517,                  1.019,                0.89945,                      1,                0.98795,                0.78111,                 0.9236,                0.49651,                 1.5996,              0.0070498,              0.0070498,              0.0070498
                    151,                0.64352,                0.40852,                 1.0777,                0.99194,                      1,                  0.995,                0.75717,                0.88463,                0.47008,                 1.5239,                0.00703,                0.00703,                0.00703
                    152,                 0.5853,                0.39388,                0.99496,                0.99194,                      1,                  0.995,                0.75717,                0.88463,                0.47008,                 1.5239,              0.0070102,              0.0070102,              0.0070102
